area Name,area type,year,variable,value
St. pauls Township,Township,1990,High School Graduates White Age 25 Up,1521.0
Crowders Mt. Twp.,Township,1990,High School Graduates White Age 25 Up,4465.0
Yadkin Township,Township,1990,High School Graduates White Age 25 Up,6739.0
Barbecue Township,Township,1990,High School Graduates White Age 25 Up,1506.0
Sea Level Township,Township,1990,High School Graduates White Age 25 Up,258.0
New Hope Township,Township,1990,High School Graduates White Age 25 Up,945.0
Newton Township,Township,1990,High School Graduates White Age 25 Up,10108.0
Tract 22.98,Tract,1990,High School Graduates White Age 25 Up,0.0
Tract 5,Tract,1990,High School Graduates White Age 25 Up,729.0
Clayton Township,Township,1990,High School Graduates White Age 25 Up,4502.0
Croatan Township,Township,1990,High School Graduates White Age 25 Up,288.0
Tract 34.01,Tract,1990,High School Graduates White Age 25 Up,1044.0
Manchester Township,Township,1990,High School Graduates White Age 25 Up,6648.0
Alleghany Township,Township,1990,High School Graduates White Age 25 Up,167.0
Tract 40.98,Tract,1990,High School Graduates White Age 25 Up,1493.0
Peedee Township,Township,1990,High School Graduates White Age 25 Up,328.0
Hunters Mill Twp.,Township,1990,High School Graduates White Age 25 Up,272.0
Fishing Creek Twp.,Township,1990,High School Graduates White Age 25 Up,1492.0
Tract 11,Tract,1990,High School Graduates White Age 25 Up,1308.0
Tract 19.10,Tract,1990,High School Graduates White Age 25 Up,1863.0
Tract 58.03,Tract,1990,High School Graduates White Age 25 Up,4551.0
Bruce Township,Township,1990,High School Graduates White Age 25 Up,3520.0
North Carolina,State of NC,2015,High School Graduates White Age 25 Up,4210038.0
White Store Twp.,Township,1990,High School Graduates White Age 25 Up,82.0
Clifton Township,Township,1990,High School Graduates White Age 25 Up,613.0
Obids Township,Township,1990,High School Graduates White Age 25 Up,474.0
Pine Swamp Township,Township,1990,High School Graduates White Age 25 Up,694.0
Washington Township,Township,1990,High School Graduates White Age 25 Up,4095.0
Tract 33,Tract,1990,High School Graduates White Age 25 Up,1649.0
Flat Creek Township,Township,1990,High School Graduates White Age 25 Up,1424.0
Tract 28,Tract,1990,High School Graduates White Age 25 Up,2393.0
Tract 102,Tract,1990,High School Graduates White Age 25 Up,111.0
Tract 110,Tract,1990,High School Graduates White Age 25 Up,779.0
Tract 54.01,Tract,1990,High School Graduates White Age 25 Up,397.0
Tract 116.01,Tract,1990,High School Graduates White Age 25 Up,3103.0
Parmele,Municipality,1990,High School Graduates White Age 25 Up,11.0
Mint Hill,Municipality,1980,High School Graduates White Age 25 Up,1543.0
BNA 9606,Tract,1990,High School Graduates White Age 25 Up,1607.0
BNA 9804,Tract,1990,High School Graduates White Age 25 Up,1765.0
Aberdeen,Municipality,2015,High School Graduates White Age 25 Up,2798.0
Southern Pines,Municipality,2015,High School Graduates White Age 25 Up,7389.0
Tract 408,Tract,1990,High School Graduates White Age 25 Up,518.0
Tract 502,Tract,1990,High School Graduates White Age 25 Up,2091.0
Pembroke,Municipality,2015,High School Graduates White Age 25 Up,147.0
Red Springs,Municipality,1990,High School Graduates White Age 25 Up,884.0
St. Pauls,Municipality,1990,High School Graduates White Age 25 Up,530.0
Faith,Municipality,2015,High School Graduates White Age 25 Up,519.0
Tract 540.04,Tract,1990,High School Graduates White Age 25 Up,2906.0
Tract 542.98,Tract,1990,High School Graduates White Age 25 Up,15.0
Tract 5,Tract,1990,High School Graduates White Age 25 Up,4472.0
Harrells,Municipality,1990,High School Graduates White Age 25 Up,53.0
BNA 9608,Tract,1990,High School Graduates White Age 25 Up,2858.0
Iredell County,County,1990,High School Graduates White Age 25 Up,36240.0
Pender County,County,1980,High School Graduates White Age 25 Up,4600.0
North Carolina,State of NC,1990,High School Graduates White Age 25 Up,2443419.0
Bertie County,County,2000,High School Graduates White Age 25 Up,4043.0
Buncombe County,County,2000,High School Graduates White Age 25 Up,107996.0
Avery County,County,2010,High School Graduates White Age 25 Up,9616.0
Alamance County,County,1970,High School Graduates White Age 25 Up,18370.0
Haw River,Municipality,2010,High School Graduates White Age 25 Up,878.0
Nags Head,Municipality,2010,High School Graduates White Age 25 Up,1933.0
Thomasville,Municipality,1990,High School Graduates White Age 25 Up,4497.0
Clemmons,Municipality,1990,High School Graduates White Age 25 Up,3516.0
Asheboro Township,Township,1990,High School Graduates White Age 25 Up,8225.0
Wingate,Municipality,1990,High School Graduates White Age 25 Up,674.0
Mitchell County,County,2000,High School Graduates White Age 25 Up,7643.0
Nash County,County,1980,High School Graduates White Age 25 Up,16602.0
Alligator Township,Township,1990,High School Graduates White Age 25 Up,41.0
Atlantic Beach,Municipality,1990,High School Graduates White Age 25 Up,1253.0
Atlantic Beach,Municipality,2000,High School Graduates White Age 25 Up,1348.0
Trenton,Municipality,2010,High School Graduates White Age 25 Up,129.0
New Light Township,Township,1990,High School Graduates White Age 25 Up,1177.0
Morehead City,Municipality,1990,High School Graduates White Age 25 Up,2609.0
Claremont,Municipality,1980,High School Graduates White Age 25 Up,122.0
Sharpesburg Twp.,Township,1990,High School Graduates White Age 25 Up,712.0
Clyde,Municipality,2015,High School Graduates White Age 25 Up,650.0
Boiling Springs,Municipality,2000,High School Graduates White Age 25 Up,1500.0
Millshoal Township,Township,1990,High School Graduates White Age 25 Up,935.0
"Twp. 4, Beech Glenn",Township,1990,High School Graduates White Age 25 Up,798.0
Jamesville Township,Township,1990,High School Graduates White Age 25 Up,813.0
"Twp. 2, Berryhill",Township,1990,High School Graduates White Age 25 Up,1618.0
Sharpsburg,Municipality,2000,High School Graduates White Age 25 Up,420.0
Creswell,Municipality,2015,High School Graduates White Age 25 Up,111.0
Jonesville,Municipality,2015,High School Graduates White Age 25 Up,859.0
Dobson,Municipality,1980,High School Graduates White Age 25 Up,168.0
Black Creek,Municipality,2000,High School Graduates White Age 25 Up,267.0
Salemburg,Municipality,1980,High School Graduates White Age 25 Up,121.0
Clarkton,Municipality,1990,High School Graduates White Age 25 Up,260.0
Griffins Township,Township,1990,High School Graduates White Age 25 Up,312.0
Rich Square Twp.,Township,1990,High School Graduates White Age 25 Up,753.0
Nixonton Township,Township,1990,High School Graduates White Age 25 Up,1764.0
East Bend,Municipality,2010,High School Graduates White Age 25 Up,297.0
Wilsons Mills,Municipality,2010,High School Graduates White Age 25 Up,715.0
Wallburg,Municipality,2015,High School Graduates White Age 25 Up,1849.0
Tract 207,Tract,1990,High School Graduates White Age 25 Up,1820.0
BNA 9913,Tract,1990,High School Graduates White Age 25 Up,1322.0
Tract 615,Tract,1990,High School Graduates White Age 25 Up,1650.0
BNA 9902,Tract,1990,High School Graduates White Age 25 Up,893.0
Tract 145.03,Tract,1990,High School Graduates White Age 25 Up,740.0
Tract 158,Tract,1990,High School Graduates White Age 25 Up,1697.0
BNA 9910,Tract,1990,High School Graduates White Age 25 Up,531.0
BNA 9906,Tract,1990,High School Graduates White Age 25 Up,645.0
Fuquay-Varina,Municipality,1990,High School Graduates White Age 25 Up,1821.0
Holly Springs,Municipality,1990,High School Graduates White Age 25 Up,111.0
Lake Santeetlah,Municipality,2000,High School Graduates White Age 25 Up,63.0
Creedmoor,Municipality,2000,High School Graduates White Age 25 Up,867.0
Stovall,Municipality,2015,High School Graduates White Age 25 Up,104.0
High Point,Municipality,2010,High School Graduates White Age 25 Up,34836.0
Whitsett,Municipality,2015,High School Graduates White Age 25 Up,497.0
Angier,Municipality,1990,High School Graduates White Age 25 Up,752.0
Angier,Municipality,2000,High School Graduates White Age 25 Up,1147.0
Fletcher,Municipality,2000,High School Graduates White Age 25 Up,2558.0
Webster,Municipality,2000,High School Graduates White Age 25 Up,281.0
Four Oaks,Municipality,2015,High School Graduates White Age 25 Up,696.0
Edenton,Municipality,1990,High School Graduates White Age 25 Up,1273.0
Casar,Municipality,2010,High School Graduates White Age 25 Up,142.0
Fallston,Municipality,2010,High School Graduates White Age 25 Up,413.0
Patterson Springs,Municipality,1990,High School Graduates White Age 25 Up,276.0
Archdale,Municipality,2010,High School Graduates White Age 25 Up,5541.0
Orrum,Municipality,1990,High School Graduates White Age 25 Up,25.0
Tarboro,Municipality,2015,High School Graduates White Age 25 Up,102.0
Bryson City,Municipality,2015,High School Graduates White Age 25 Up,818.0
Columbia,Municipality,2010,High School Graduates White Age 25 Up,195.0
Stallings,Municipality,2010,High School Graduates White Age 25 Up,7517.0
Stanley,Municipality,1990,High School Graduates White Age 25 Up,955.0
Belmont,Municipality,2015,High School Graduates White Age 25 Up,5432.0
Middleburg,Municipality,2000,High School Graduates White Age 25 Up,33.0
Powellsville,Municipality,2000,High School Graduates White Age 25 Up,82.0
Biltmore Forest,Municipality,2000,High School Graduates White Age 25 Up,1035.0
Montreat,Municipality,2010,High School Graduates White Age 25 Up,340.0
Hassell,Municipality,1980,High School Graduates White Age 25 Up,8.0
Oak City,Municipality,1990,High School Graduates White Age 25 Up,118.0
Davidson,Municipality,1980,High School Graduates White Age 25 Up,65.0
Star,Municipality,1980,High School Graduates White Age 25 Up,145.0
Vass,Municipality,2015,High School Graduates White Age 25 Up,251.0
Smithfield,Municipality,2015,High School Graduates White Age 25 Up,4618.0
Elizabeth City,Municipality,2010,High School Graduates White Age 25 Up,4297.0
